id	text	category	image_url	source
animal_68	໒( ~ ◔ ᴥ ◔ ~ )७	donger		Donger List
animal_69	ʕ ˵ ๑ _ ๑ ˵ ʔ	donger		Donger List
animal_70	૮( ᵒ̌皿ᵒ̌ )ა	donger		Donger List
animal_71	(҂ ˘ _ ˘ )	donger		Donger List
animal_72	ʕ ⊃･ ◡ ･ ʔ⊃	donger		Donger List
animal_73	ᕦ[ ◔ (oo) ◔ ]ᕤ	donger		Donger List
animal_74	༼ ・ ౪ ・ ༽	donger		Donger List
animal_75	ʕ ﹒ ᴥ ﹒ ʔ	donger		Donger List
animal_76	ʕ ∗ •́ ڡ •̀ ∗ ʔ	donger		Donger List
animal_77	୧ʕ ⇀ ⌂ ↼ ʔ୨	donger		Donger List
animal_78	[ ಠ □ ಠೃ ]	donger		Donger List
animal_79	╰໒( ͡ຈ ᴥ ຈ͡ )७╯	donger		Donger List
animal_80	[ ಠ (oo) ಠ ]	donger		Donger List
animal_81	༼ ∗ •̀ (oo) •́ ∗ ༽	donger		Donger List
animal_82	ʕ •̀ o •́ ʔ	donger		Donger List
animal_83	へʕ ∗ ´ ۝ ´ ∗ ʔ┘	donger		Donger List
animal_84	(❍ᴥ❍ʋ)	donger		Donger List
animal_85	༼☉ɷ⊙༽	donger		Donger List
animal_86	óÔÔò ʕ·͡ᴥ·ʔ óÔÔò	donger		Donger List
animal_87	ᗧ͇̿ · · ᗣ͇̿ᗣ͇̿ᗣ͇̿ᗣ͇̿	donger		Donger List
animal_88	╭∩╮ʕ•ᴥ•ʔ╭∩╮	donger		Donger List
animal_89	┬┴┬┴┤･ω･)ﾉ├┬┴┬┴	donger		Donger List
animal_90	くコ:彡	donger		Donger List
animal_91	^ↀᴥↀ^	donger		Donger List
animal_92	ヘ(￣ω￣ヘ)	donger		Donger List
animal_93	(づ｡◕‿‿◕｡)づ	donger		Donger List
animal_94	⁝⁞⁝⁞ʕु•̫͡•ʔु☂⁝⁞⁝⁝	donger		Donger List
animal_95	ฅ⁽͑ ˚̀ ˙̭ ˚́ ⁾̉ฅ	donger		Donger List
animal_96	⊹⋛⋋( ՞ਊ ՞)⋌⋚⊹	donger		Donger List
animal_97	(.﹒︣︿﹒︣.)	donger		Donger List
animal_98	(˵¯͒〰¯͒˵)	donger		Donger List
animal_99	( ͡°ᴥ ͡° ʋ)	donger		Donger List
animal_100	ヽ(´・ω・`)ﾉ	donger		Donger List
animal_101	└(◉◞౪◟◉)┘	donger		Donger List
animal_102	へ(¬ϖ¬)へ	donger		Donger List
animal_103	(ノ ̿ ̿ᴥ ̿ ̿)ノ	donger		Donger List
animal_104	(╯･ิ-･ิ)╯	donger		Donger List
animal_105	(_/¯◜ ω ◝)_/¯	donger		Donger List
animal_106	ʕ•̫͡•ʕ̫͡ʕ•͓͡•ʔ-̫͡-ʕ•̫͡•ʔ̫͡ʔ-̫͡-ʔ	donger		Donger List
animal_107	ʕง•ᴥ•ʔง	donger		Donger List
animal_108	ʕっ•ᴥ•ʔっ	donger		Donger List
animal_109	( ◔ ౪◔)	donger		Donger List
animal_110	(╯°□°)ຈ҉̛༽̨҉҉ﾉ̨	donger		Donger List
animal_111	୧༼ ͡◉ᴥ ͡◉༽୨	donger		Donger List
animal_112	ᕙ༼◕ ᴥ ◕༽ᕗ	donger		Donger List
animal_113	୧༼◕ ᴥ ◕༽୨	donger		Donger List
animal_114	༼ ༽ ლ(́◉◞౪◟◉‵ლ)	donger		Donger List
animal_115	乁( ◔ ౪◔)ㄏ	donger		Donger List
animal_116	(=^-ω-^=)	donger		Donger List
animal_117	ლ(́◉◞౪◟◉‵ლ)	donger		Donger List
brick_0	╏ ” ⊚ ͟ʖ ⊚ ” ╏	donger		Donger List
brick_1	░ ∗ ◕ ں ◕ ∗ ░	donger		Donger List
brick_2	╚═▐ ۞ ~ ۞ ▐═╝	donger		Donger List
brick_3	┌། ≖ Ĺ̯ ≖ །┐	donger		Donger List
brick_4	o͡͡͡╮། ❛ั ╭ ͟ʖ╮ ❛ั །╭o͡͡͡	donger		Donger List
brick_5	╏ •́ – •̀ ╏	donger		Donger List
brick_6	ᕦ╏ ¬ ʖ̯ ¬ ╏ᕤ	donger		Donger List
brick_7	o͡͡͡╮╏ ◕ ◡ ◕ ╏╭o͡͡͡	donger		Donger List
brick_8	୧╏ ՞ _ ՞ ╏୨	donger		Donger List
brick_9	⋋╏ ۞ ڡ ۞ ╏⋌	donger		Donger List
brick_10	╏ ° ▃ ° ╏	donger		Donger List
brick_11	╏ ◯ ᴥ ◯ ╏	donger		Donger List
brick_12	╏ . ^ Ĺ̯ ^ . ╏	donger		Donger List
brick_13	┴┬┴┤･_･├┴┬┴	donger		Donger List
brick_14	╏ : ◉ ∧ ◉ : ╏	donger		Donger List
brick_15	└╏ ･ ᗜ ･ ╏┐	donger		Donger List
brick_16	c:::::::::::::[]=¤ԅ╏ ˵ ⊚ ◡ ⊚ ˵ ╏┐	donger		Donger List
brick_17	╏ ˵ ・ ͟ʖ ・ ˵ ╏	donger		Donger List
brick_18	┌╏✖_✖╏┘	donger		Donger List
brick_19	┌╏ •́ – •̀ ╏┐	donger		Donger List
brick_20	╰╏ ･ ᗜ ･ ╏╯	donger		Donger List
brick_21	⋋╏ ᓀ 〜 ᓂ ╏⋌	donger		Donger List
brick_22	╏ ◔ _̀ ◔ ╏	donger		Donger List
brick_23	ᕕ╏ ^ ◡ ^ ╏ᓄ	donger		Donger List
brick_24	╏つ” ⊡ 〜 ⊡ ” ╏つ	donger		Donger List
brick_25	ԅ╏ ˵ ⊚ ◡ ⊚ ˵ ╏┐	donger		Donger List
brick_26	ᕕ╏ ͡ᵔ ‸ ͡ᵔ ╏凸	donger		Donger List
brick_27	ᕕ╏ ͡ ▾ ͡ ╏┐	donger		Donger List
brick_28	╏つ ͜ಠ ‸ ͜ಠ ╏つ	donger		Donger List
brick_29	ᕙ╏ : ◑ ڡ ◑ : ╏ᕗ	donger		Donger List
cool_0	┬┴┬┴┤ᕦ( ▀̿ Ĺ̯ ▀̿├┬┴┬	donger		Donger List
cool_1	ᕕ(⌐■_■)ᕗ ♪♬	donger		Donger List
cool_2	━╤デ╦︻(▀̿̿Ĺ̯̿̿▀̿ ̿)	donger		Donger List
cool_3	┌༼▀̿ Ĺ̯▀̿༽┐	donger		Donger List
cool_4	(つ▀¯▀)つ	donger		Donger List
cool_5	( ▀ 益 ▀ )	donger		Donger List
cool_6	¯\_໒( ” ▀ ﹏ ▀ ” )७_/¯	donger		Donger List
cool_7	༼⌐■ل͟■༽	donger		Donger List
cool_8	┌(▀Ĺ̯▀)┐	donger		Donger List
cool_9	(⌐■_■)–︻╦╤─	donger		Donger List
cool_10	ヽ(⌐■_■)ノ♪♬	donger		Donger List
cool_11	┌(▀Ĺ̯ ▀-͠ )┐	donger		Donger List
cool_12	(⌐ ͡■ ͜ʖ ͡■)	donger		Donger List
cool_13	( ͡° ͜ʖ ͡°)>⌐■-■	donger		Donger List
cool_14	༼⌐■ل͜■༽	donger		Donger List
cool_15	༼ ຈل͜ຈ༽ノ⌐■-■	donger		Donger List
cool_16	ლ(▀̿̿Ĺ̯̿̿▀̿ლ)	donger		Donger List
cool_17	ᕙ(▀̿̿Ĺ̯̿̿▀̿ ̿) ᕗ	donger		Donger List
cool_18	༼ つ ▀̿_▀̿ ༽つ	donger		Donger List
cool_19	ᕦ(▀̿ ̿ -▀̿ ̿ )つ├┬┴┬┴	donger		Donger List
cool_20	ヽ༼ ຈل͜ຈ༼ ▀̿̿Ĺ̯̿̿▀̿ ̿༽Ɵ͆ل͜Ɵ͆ ༽ﾉ	donger		Donger List
cool_21	┬━┬ノ(▀̿̿Ĺ̯̿̿▀̿ ̿ノ)	donger		Donger List
cool_22	( •_•)>⌐■-■	donger		Donger List
cracker_0	ᕙ╏✖۝✖╏⊃-(===>	donger		Donger List
cracker_1	ᕦ╏ ʘ̆ ‸ ʘ̆ ╏ᕤ	donger		Donger List
cracker_2	¯\_╏ ՞ ︿ ՞ ╏_/¯	donger		Donger List
cracker_3	ᕙ⁞ = 〰 = ⁞ᕗ	donger		Donger List
cracker_4	o͡͡͡╮⁞ ^ ▃ ^ ⁞╭o͡͡͡	donger		Donger List
cracker_5	ヽ⁞ ~ ◉ – ◉ ~ ⁞و	donger		Donger List
cracker_6	╏ ˵ ✪ ﹏ ✪ ˵ ╏	donger		Donger List
cracker_7	ᕦ⁞ ∗ ❛ั ◯ ❛ั ∗ ⁞ᕤ	donger		Donger List
cracker_8	ᕕ⁞ ᵒ̌ 〜 ᵒ̌ ⁞ᕗ	donger		Donger List
cracker_9	⁞ つ: •̀ ⌂ •́ : ⁞-︻╦̵̵͇̿̿̿̿══╤─	donger		Donger List
cracker_10	⁞ つ: •̀ ⌂ •́ : ⁞つ	donger		Donger List
cracker_11	ᕙ⁞ : •̀ ⌂ •́ : ⁞ᕗ	donger		Donger List
crazy_0	o͡͡͡╮༼ ʘ̆ ۝ ʘ̆ ༽╭o͡͡͡	donger		Donger List
crazy_1	ლ( ◕ 益 ◕ ) ლ	donger		Donger List
crazy_2	༽つ۞﹏۞༼つ ─=≡ΣO))	donger		Donger List
crazy_3	c໒( ◐ ﹏ ◐ )७੭	donger		Donger List
crazy_4	┌໒( : ͡° д °͡ : )७┐	donger		Donger List
crazy_5	(๑•॒̀ ູ॒•́๑)	donger		Donger List
crazy_6	凸(⊙▂⊙✖ )	donger		Donger List
crazy_7	└(◉◞౪◟◉)┘	donger		Donger List
crazy_8	ᕦ⊙෴⊙ᕤ	donger		Donger List
crazy_9	ᕙ( ͡◉ ͜ ʖ ͡◉)ᕗ	donger		Donger List
crazy_10	ᕦ༼✩ل͜✩༽ᕤ	donger		Donger List
crazy_11	(ง ͡ʘ ͜ʖ ͡ʘ)ง	donger		Donger List
crazy_12	(́ง◉◞౪◟◉‵)ง	donger		Donger List
crazy_13	ヽ(ಠ▃ಠ)ﾉ	donger		Donger List
crazy_14	ヽ༼◐ل͜◑༽ﾉ	donger		Donger List
crazy_15	༼ﾉ ◉ ͜ ◉ ༽つ	donger		Donger List
crazy_16	୧༼ ͡◉ᴥ ͡◉༽୨	donger		Donger List
crazy_17	(ʘ͡ ʖ͜ ʘ͡ ง)	donger		Donger List
crazy_18	ʘ ͜ʖ ʘ	donger		Donger List
crazy_19	༼ ༽ ლ(́◉◞౪◟◉‵ლ)	donger		Donger List
crazy_20	(◕ل͜◕)	donger		Donger List
crazy_21	(つ☢益☢)つ︵┻━┻	donger		Donger List
crazy_22	ヽ(`Д´)ﾉ	donger		Donger List
crazy_23	(ノಠ益ಠ)ノ彡┻━┻	donger		Donger List
crazy_24	ლ(́◉◞౪◟◉‵ლ)	donger		Donger List
cry_0	( ͡↑ ͜ʖ ͡↑)	donger		Donger List
cry_1	┻┻︵⁞=༎ຶ﹏༎ຶ=⁞︵┻┻	donger		Donger List
cry_2	ლ(ಥ Д ಥ )ლ	donger		Donger List
cry_3	└༼ ಥ ᗜ ಥ ༽┘	donger		Donger List
cry_4	┌(˵༎ຶ  ل͟  ༎ຶ˵)┐	donger		Donger List
cry_5	ᕕ( ཀ ʖ̯ ཀ)ᕗ	donger		Donger List
cry_6	c╏ ಡ д ಡ ╏୨	donger		Donger List
cry_7	ᕕ〳 ཀ 益 ཀ 〵ง	donger		Donger List
cry_8	( * ಥ ⌂ ಥ * )	donger		Donger List
cry_9	〳 ‾́ ﹏ ‾́ 〵	donger		Donger List
cry_10	ᕕ(ಥʖ̯ಥ)ᕗ	donger		Donger List
cry_11	(ಥ_ʖಥ)	donger		Donger List
cry_12	ʕ ಡ ﹏ ಡ ʔ⊃―{}@{}@{}-	donger		Donger List
cry_13	༼ つ ˵ ╥ ͟ʖ ╥ ˵༽つ	donger		Donger List
cry_14	ヽ༼ಢ_ಢ༽ﾉ☂	donger		Donger List
cry_15	ԅ[ * ༎ຶ _ ༎ຶ * ]┐	donger		Donger List
cry_16	༼ ╥ ل ╥ ༽	donger		Donger List
cry_17	c〳 ݓ ﹏ ݓ 〵੭	donger		Donger List
cry_18	୧| ͡ᵔ ﹏ ͡ᵔ |୨	donger		Donger List
cry_19	ヽ༼ಢ_ಢ༽ﾉ	donger		Donger List
cry_20	໒( ͡; 益 ͡; )७┌∩┐	donger		Donger List
cry_21	c( ˵ ╥ ͟ʖ ╥ ˵ )੭	donger		Donger List
cry_22	੧║ ☯ ⌂ ☯ ║┐	donger		Donger List
cry_23	(⋟﹏⋞)	donger		Donger List
cry_24	ᗜੂͦ﹏ᗜੂͦ	donger		Donger List
cry_25	(ಥ﹏ಥ)	donger		Donger List
cry_26	.·´¯`(>▂copycopied	donger		Donger List
cry_27	(ू˃̣̣̣̣̣̣︿˂̣̣̣̣̣̣ ू)	donger		Donger List
cry_28	( ཀ͝ ∧ ཀ͝ )	donger		Donger List
cry_29	(;´༎ຶД༎ຶ`)	donger		Donger List
cry_30	༼;´༎ຶ ۝ ༎ຶ༽	donger		Donger List
cry_31	༼ ಥل͟ಥ ༽	donger		Donger List
cry_32	༼つ☯﹏☯༽つ	donger		Donger List
cry_33	༼☯﹏☯༽	donger		Donger List
cry_34	ヽ(`Д´)ﾉ	donger		Donger List
cute_0	(✿ ◕‿◕) ᓄ✂╰U╯	donger		Donger List
cute_1	ლ(~•̀︿•́~)つ︻̷┻̿═━一	donger		Donger List
cute_2	ᕕ( ՞ ᗜ ՞ )ᕗ	donger		Donger List
cute_3	(◕⌂◕⊃⊃)	donger		Donger List
cute_4	໒( , ⊙ – ⊙ , )७	donger		Donger List
cute_5	☆*:. o(≧▽≦)o .:*☆	donger		Donger List
cute_6	ʕ ᓀ ᴥ ᓂ ʔ	donger		Donger List
cute_7	(V●ᴥ●V)	donger		Donger List
cute_8	୧[ * ಡ ▽ ಡ * ]୨	donger		Donger List
cute_9	ᕙ[  ͒ ﹏ ͒  ]ᕗ	donger		Donger List
cute_10	(⁰ ◕〜◕ ⁰)	donger		Donger List
cute_11	(∩╹□╹∩)	donger		Donger List
cute_12	╰[ ⁰﹏⁰ ]╯	donger		Donger List
cute_13	s( ^ ‿ ^)-b	donger		Donger List
cute_14	s( ^ ‸ ^)-p	donger		Donger List
cute_15	@( ◕ x ◕ )@	donger		Donger List
cute_16	ᕙ( ~ . ~ )ᕗ	donger		Donger List
